date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-22,-0.026907,0.429376,-0.020005,-0.009757,0.476967,50.214986,,82.844348,1171.326515
2026-01-23,-0.026907,0.430761,-0.020005,-0.009798,0.476967,51.34958,,82.130892,1179.518745
2026-01-26,-0.026907,0.430949,-0.020005,-0.009757,0.476967,51.323425,,83.800378,1189.939272
2026-01-27,-0.026907,0.431033,-0.020005,-0.009798,0.476967,50.61616,,85.440286,1191.748178
2026-01-28,-0.026907,0.433612,-0.020005,-0.009834,0.476968,51.441021,,86.421003,1205.912716
2026-01-29,-0.026907,0.432208,-0.020005,-0.009798,0.476967,51.548459,,85.388891,1201.91164
2026-01-30,-0.026907,0.4324,-0.020005,-0.009798,0.476967,51.168047,,85.961111,1200.703589
2026-02-02,-0.026907,0.432201,-0.020005,-0.009834,0.476968,49.704626,,86.941557,1189.008622
2026-02-03,-0.026907,0.433086,-0.020005,-0.009871,0.476968,48.174087,,89.234979,1183.944356
2026-02-04,-0.026907,0.432236,-0.020748,-0.009429,0.455623,48.345065,,89.041868,1185.692973
2026-02-05,-0.026907,0.433449,-0.020748,-0.009429,0.455623,50.094224,,85.653341,1184.237786
2026-02-06,-0.026907,0.436115,-0.020927,-0.009608,0.455622,49.725449,,86.401257,1181.852667
2026-02-09,-0.026907,0.435078,-0.020927,-0.009722,0.455623,49.097851,,88.190346,1186.660466
2026-02-10,-0.026907,0.435096,-0.020927,-0.009722,0.455623,49.298921,,89.01524,1194.514648
2026-02-11,-0.026907,0.435068,-0.020927,-0.009804,0.455623,50.086439,,87.272653,1193.06604
2026-02-12,-0.026907,0.439298,-0.020947,-0.009824,0.455623,51.875727,,84.25134,1191.705832
2026-02-13,-0.026907,0.441339,-0.02186,-0.010638,0.455621,53.218879,,81.827028,1190.941934
2026-02-16,-0.026907,0.443646,-0.022948,-0.011726,0.45562,52.720018,,83.125519,1190.843127
2026-02-17,-0.026907,0.443185,-0.022948,-0.011726,0.45562,52.123559,,83.945589,1189.079079
2026-02-18,-0.026907,0.443205,-0.022948,-0.011726,0.45562,51.571393,,85.057257,1189.276453
2026-02-19,-0.026907,0.446285,-0.022948,-0.011825,0.455621,51.875907,,83.939658,1182.953417
2026-02-20,-0.026907,0.446608,-0.022948,-0.011726,0.45562,50.929658,,85.536673,1180.976325
