date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-27,-0.014523,0.261873,-0.026531,-0.012125,0.643126,359.630745,,162.393897,5873.858863
2026-01-28,-0.014523,0.262531,-0.026531,-0.012137,0.643128,355.978881,,167.891413,5873.605043
2026-01-29,-0.014523,0.264932,-0.026531,-0.012137,0.643129,354.486665,,170.646421,5873.605043
2026-01-30,-0.014523,0.264963,-0.026531,-0.012137,0.64313,358.413024,,165.497375,5879.100228
2026-02-02,-0.018682,0.267042,-0.027409,-0.013016,0.643129,359.595632,,163.911932,5876.562631
2026-02-03,-0.018664,0.267487,-0.028424,-0.013346,0.660043,360.258096,,163.500583,5880.539153
2026-02-04,-0.018664,0.266993,-0.028424,-0.012944,0.660043,359.731555,,165.035929,5887.828735
2026-02-05,-0.018664,0.266679,-0.028424,-0.012944,0.660043,359.13597,,165.848205,5887.828735
2026-02-06,-0.018664,0.266705,-0.028424,-0.013346,0.660043,358.405208,,166.927268,5887.744128
2026-02-09,-0.018664,0.265557,-0.028425,-0.013358,0.660056,356.622313,,169.204516,5886.895624
2026-02-10,-0.018664,0.266116,-0.028425,-0.013358,0.660055,357.254846,,170.089394,5901.183228
2026-02-11,-0.018664,0.265548,-0.028425,-0.013363,0.660063,357.473541,,170.786831,5910.917887
2026-02-12,-0.018664,0.266064,-0.028425,-0.013363,0.660063,358.441361,,169.28097,5909.293313
2026-02-13,-0.018664,0.267236,-0.028425,-0.013363,0.660062,361.161106,,166.777571,5919.912387
2026-02-16,-0.018664,0.267715,-0.028425,-0.013358,0.660051,359.995902,,167.812283,5913.142621
2026-02-20,-0.018664,0.26844,-0.028425,-0.013358,0.660052,359.692438,,168.419239,5913.056797
2026-02-23,-0.018664,0.265876,-0.028425,-0.013358,0.66005,356.918138,,171.948873,5913.142621
2026-02-24,-0.018664,0.26655,-0.028425,-0.013363,0.660054,359.065513,,168.924624,5913.142621
2026-02-25,-0.018664,0.26957,-0.02853,-0.013463,0.66005,360.207265,,170.470586,5934.533549
2026-02-26,-0.018664,0.269768,-0.02853,-0.013463,0.66005,363.072247,,167.682123,5946.542245
2026-02-27,-0.018664,0.270656,-0.02853,-0.013451,0.660049,365.265143,,167.551325,5971.142756
2026-03-02,-0.018664,0.27021,-0.02853,-0.013451,0.66005,366.978341,,163.133427,5956.340816
2026-03-03,-0.02007,0.273971,-0.02927,-0.014191,0.660048,363.515264,,166.665006,5935.482485
2026-03-04,-0.02007,0.276765,-0.030069,-0.014471,0.673069,365.184414,,162.969545,5920.255684
2026-03-05,-0.021748,0.292312,-0.02908,-0.013687,0.632512,366.71245,,164.487582,5922.573547
2026-03-06,-0.021748,0.292312,-0.030164,-0.014578,0.673074,365.866157,,165.787426,5922.573547
2026-03-09,-0.021748,0.292312,-0.030164,-0.014578,0.673065,365.801905,,165.938856,5923.002668
2026-03-10,-0.021748,0.292312,-0.030164,-0.014583,0.673071,364.888394,,165.814986,5910.575807
2026-03-11,-0.020361,0.284841,-0.027667,-0.012559,0.579642,367.868795,,163.158456,5940.2296
2026-03-12,-0.020361,0.284841,-0.027667,-0.012554,0.579633,366.676109,,166.128429,5949.746959
2026-03-13,-0.020361,0.284841,-0.027645,-0.012503,0.577278,366.552029,,165.958955,5946.802153
